title,price,link,site
"Skytech Archangel Gaming Computer PC Desktop – Ryzen 5 3600 3.6GHz, GTX 1660 Super 6G, 500GB SSD, 16GB DDR4 3000MHz, RGB Fans, Windows 10 Home 64-bit, 802.11AC Wi-Fi",1349,/Skytech-Archangel-Gaming-Computer-Desktop/dp/B088W1QJP1/ref=sr_1_16?dchild=1&keywords=PC&qid=1619718196&sr=8-16,amazon
"SkyTech Blaze - Gaming Computer PC Desktop – Intel Core i5-9400F 6-Core 2.9 GHz, NVIDIA GeForce GTX 1650 4GB, 500G SSD, 8GB DDR4, AC WiFi, Windows 10 Home 64-bit",,/SkyTech-Blaze-Computer-Desktop-i5-9400F/dp/B07T9VBP7R/ref=sr_1_17?dchild=1&keywords=PC&qid=1619718199&sr=8-17,amazon
"MSI Codex R 3060 Gaming Desktop PC, GeForce RTX 3060 12GB GDDR6, Intel Octa-Core i7-10700, 32GB RAM, 1TB SSD+1TB HDD, Wi-Fi 6, Blutooth 5.1, DP/HDMI/DVI, Mytrix HDMI 2.1 Cable, Win 10",,/MSI-Desktop-Octa-Core-i7-10700-Blutooth/dp/B0923C5ST9/ref=sr_1_18?dchild=1&keywords=PC&qid=1619718199&sr=8-18,amazon
"ASUS Strix GL10DH Gaming Desktop PC, AMD Ryzen 5 3400G, GeForce GTX 1650, 8GB DDR4 RAM, 512GB PCIe SSD, Wi-Fi 5, Windows 10 Home, GL10DH-PH552",,/GL10DH-Desktop-GeForce-Windows-GL10DH-PH552/dp/B086XMC6GW/ref=sr_1_19?dchild=1&keywords=PC&qid=1619718199&sr=8-19,amazon
"ROG Strix G35 Gaming Desktop PC, GeForce RTX 2080 Ti, Liquid Cooled Intel Core i9-10900KF, 32GB DDR4 RAM, 1TB PCIe SSD, Dual Hot-Swap SSD Bays, Windows 10 Professional, G35CZ-XS991",,/Desktop-i9-10900KF-Hot-Swap-Professional-G35CZ-XS991/dp/B08D93FP1Z/ref=sr_1_20?dchild=1&keywords=PC&qid=1619718199&sr=8-20,amazon
"OMEN - GT13-0090 30L Gaming Desktop PC, NVIDIA GeForce RTX 3090 Graphics Card, 10th Generation Intel Core i9-10850K Processor, 32 GB RAM, 1 TB SSD, Windows 10 Home (GT13-0090, 2020) Shadow black",4228,/OMEN-GT13-0090-Generation-i9-10850K-Processor/dp/B08KYQFZ6K/ref=sr_1_21?dchild=1&keywords=PC&qid=1619718199&sr=8-21,amazon
"ZOTAC Gaming MEK Ultra Gaming PC, GeForce RTX 3070 8GB GDDR6, 8-core Liquid-Cooled Intel Core i7-9700, 16GB DDR4/512GB NVMe SSD/2TB HDD/Windows 10 System, GU3070C7R0B-U-W2B",,/ZOTAC-GeForce-Liquid-Cooled-i7-9700-GU3070C7R0B-U-W2B/dp/B08S6HRZVB/ref=sr_1_22?dchild=1&keywords=PC&qid=1619718199&sr=8-22,amazon
"Dell Inspiron Gaming PC Desktop AMD Ryzen 7 2700 Processor, 16GB DRAM, 1TB HDD, AMD Radeon RX 580 4GB GDDR5 Graphics Card, Windows 10 64-bit, Blue LED, Model Number: i5676-A696Blu",,/Dell-Inspiron-Desktop-Processor-Graphics/dp/B07Q3G3B67/ref=sr_1_23?dchild=1&keywords=PC&qid=1619718199&sr=8-23,amazon
"ASUS Strix GA15DH Gaming Desktop PC, AMD Ryzen 7 3800X, GeForce RTX 2070 Super, 16GB DDR4 RAM, 512GB PCIe SSD + 1TB HDD, Wi-Fi 5, Windows 10 Home, GA15DH-AH772",3399,/GA15DH-Desktop-GeForce-Windows-GA15DH-AH772/dp/B08H4Q7546/ref=sr_1_24?dchild=1&keywords=PC&qid=1619718199&sr=8-24,amazon
"CyberpowerPC Gamer Xtreme VR Gaming PC, Intel Core i5-9400F 2.9GHz, NVIDIA GeForce GTX 1660 6GB, 8GB DDR4, 240GB SSD, 1TB HDD, WiFi Ready & Win 10 Home (GXiVR8060A8, Black)",,/CYBERPOWERPC-Xtreme-i5-9400F-GeForce-GXiVR8060A8/dp/B07VGJDKZ4/ref=sr_1_25?dchild=1&keywords=PC&qid=1619718199&sr=8-25,amazon
